股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
000001,平安银行,14.71,2.08,7.31,7.86,0.85,0.28,1.64,-8.38,银行
000002,万科A,19.07,1.01,9.78,9.84,0.94,-,0.49,-8.52,房地产开发
000006,深振业A,4.44,-4.31,18.92,11.07,0.78,-,2.38,-1.39,房地产开发
000016,深康佳A,4.65,0.22,11.96,12.37,1.2,-,0.24,15.84,家电行业
000026,飞亚达,8.87,-1.22,10.62,9.74,1.23,0.36,0.75,7.07,珠宝首饰
000027,深圳能源,5.91,-0.84,13.81,13.21,0.99,-,0.84,5.66,电力行业
000028,国药一致,28.14,-2.46,9.56,9.01,0.79,-,0.17,6.91,医药商业
000030,富奥股份,5.32,0.0,14.91,11.45,1.28,-,0.77,7.57,汽车零部件
000035,中国天楹,4.38,1.39,17.03,15.16,1.01,1.41,0.69,6.97,环保行业
000036,华联控股,4.14,-2.82,18.17,15.12,1.23,-,3.92,-13.95,房地产开发
000039,中集集团,13.12,1.0,6.87,7.08,1.01,0.56,0.28,2.02,通用设备
000042,中洲控股,9.24,-10.03,16.72,29.83,0.76,-,0.77,-6.41,房地产开发
000045,深纺织A,6.63,-0.45,93.25,54.91,1.18,2.22,1.39,687.59,光学光电子
000050,深天马A,9.07,0.67,13.65,14.45,0.74,3.18,0.7,4.22,光学光电子
000055,方大集团,4.13,-1.2,23.23,19.96,0.8,-,1.24,76.03,装修装饰
000059,华锦股份,6.12,0.16,14.82,10.95,0.67,0.10,0.24,7.47,石油行业
000060,中金岭南,4.12,0.0,12.05,12.83,1.17,0.79,0.3,9.22,有色金属
000065,北方国际,7.69,-1.03,11.66,12.35,1.25,-,0.56,6.74,工程建设
000069,华侨城A,5.78,-2.36,15.42,12.48,0.6,-,0.47,4.31,房地产开发
000088,盐田港,4.94,-2.37,24.19,24.08,1.22,1.24,15.33,35.70,航运港口
000090,天健集团,7.54,-5.28,7.34,7.29,1.37,0.19,0.61,-4.46,工程建设
000099,中信海直,6.98,-1.41,19.07,21.97,1.13,1.72,3.17,9.42,航空机场
000100,TCL科技,4.24,0.71,6.61,5.92,1.37,0.06,0.35,2.07,光学光电子
000156,华数传媒,7.34,-1.34,14.75,15.0,0.95,2.03,1.55,6.56,文化传媒
000157,中联重科,5.83,-0.51,10.63,8.07,0.88,-,0.87,91.26,工程机械
000158,常山北明,5.42,-0.18,64.96,66.14,1.43,1.98,0.76,-236.51,综合行业
000159,国际实业,5.41,1.12,177.22,94.01,1.16,-,2.12,39.75,石油行业
000166,申万宏源,3.99,0.0,12.43,10.63,1.04,0.54,3.28,-3.73,证券
